kind,bs,acc,prefetch,bucket,sparse,mem_limit_mb,steps,tok_avg,step_ms_avg,mem_peak_mib,ok
grid_acc1,18,1,2,,False,,4,11835.333333333334,618.4666666666667,6996,True
grid_acc1,20,1,2,,False,,4,11840.333333333334,695.4,7687,True
grid_acc1,22,1,2,,False,,4,12682.0,712.9333333333334,8239,True
grid_acc1,24,1,2,,False,,4,12871.0,771.8333333333334,8949,True
grid_acc1,26,1,2,,False,,4,12612.0,848.3000000000001,9661,True
grid_acc1,28,1,2,,False,,4,12760.333333333334,893.4,10176,True
grid_acc1,30,1,2,,False,,4,12903.666666666666,956.9666666666666,10873,True
grid_acc1,32,1,2,,False,,4,12615.0,1032.5333333333333,11570,True
grid_acc1,34,1,2,,False,,4,12819.0,1093.4666666666665,12174,True
grid_acc2,18,2,2,,False,,4,12845.666666666666,1143.2666666666667,12547,True
grid_acc2,20,2,2,,False,,4,13016.0,1268.6333333333334,13887,True
grid_acc2,22,2,2,,False,,4,13085.0,1391.3999999999999,15174,True
grid_acc2,24,2,2,,False,,4,12206.333333333334,1750.7,16450,True
grid_acc2,26,2,2,,False,,4,12926.333333333334,1726.3999999999999,17644,True
grid_acc2,28,2,2,,False,,4,12418.0,1978.8666666666668,18970,True
memlimit_12g,16,1,2,,False,12000,4,12287.666666666666,522.3666666666667,6477,True
memlimit_12g,24,1,2,,False,12000,4,12816.0,770.7333333333332,8949,True
memlimit_12g,32,1,2,,False,12000,4,11692.0,1170.7333333333333,11570,True
memlimit_12g,40,1,2,,False,12000,4,11437.333333333334,1610.8666666666668,12986,True
memlimit_12g,48,1,2,,False,12000,4,11092.0,1944.2,15502,True
long_50,24,2,2,,False,,50,14857.75,,16450,True
long_50,32,1,2,,False,12000,50,13780.75,,11570,True
long_run,24,2,,,,,200,15422.058823529413,,16450,True
long_run,32,1,,,,12000,200,15330.529411764706,,11570,True
long_run,30,1,,,,,100,15143.42857142857,,10873,True
long_run,22,2,,,,,100,16197.285714285714,,15174,True
tune_prefetch_shuffle,24,2,0,shuffle=0,,,,7584.333333333333,,16450,True
tune_prefetch_shuffle,24,2,0,shuffle=512,,,,13119.666666666666,,16450,True
tune_prefetch_shuffle,24,2,0,shuffle=2048,,,,13479.0,,16450,True
tune_prefetch_shuffle,24,2,2,shuffle=0,,,,13330.0,,16450,True
tune_prefetch_shuffle,24,2,2,shuffle=512,,,,13220.666666666666,,16450,True
tune_prefetch_shuffle,24,2,2,shuffle=2048,,,,13419.333333333334,,16450,True
tune_prefetch_shuffle,24,2,4,shuffle=0,,,,13718.0,,16450,True
tune_prefetch_shuffle,24,2,4,shuffle=512,,,,13409.333333333334,,16450,True
tune_prefetch_shuffle,24,2,4,shuffle=2048,,,,12986.666666666666,,16450,True
tune_prefetch_shuffle,32,1,0,shuffle=0,,,,13063.333333333334,,11570,True
tune_prefetch_shuffle,32,1,0,shuffle=512,,,,13688.0,,11570,True
tune_prefetch_shuffle,32,1,0,shuffle=2048,,,,13266.666666666666,,11570,True
tune_prefetch_shuffle,32,1,2,shuffle=0,,,,13369.0,,11570,True
tune_prefetch_shuffle,32,1,2,shuffle=512,,,,13303.0,,11602,True
tune_prefetch_shuffle,32,1,2,shuffle=2048,,,,13518.0,,11570,True
tune_prefetch_shuffle,32,1,4,shuffle=0,,,,13469.333333333334,,11570,True
tune_prefetch_shuffle,32,1,4,shuffle=512,,,,13230.333333333334,,11570,True
tune_prefetch_shuffle,32,1,4,shuffle=2048,,,,13086.333333333334,,11570,True
tune_gridC_acc2,20,2,2,shuffle=0,,,,11546.333333333334,,13887,True
tune_gridC_acc2,20,2,2,shuffle=512,,,,11659.666666666666,,13887,True
tune_gridC_acc2,20,2,2,shuffle=2048,,,,11574.333333333334,,13887,True
tune_gridC_acc2,20,2,4,shuffle=0,,,,11641.666666666666,,13887,True
tune_gridC_acc2,20,2,4,shuffle=512,,,,11421.0,,13887,True
tune_gridC_acc2,20,2,4,shuffle=2048,,,,11951.333333333334,,13887,True
tune_gridC_acc2,22,2,2,shuffle=0,,,,11538.666666666666,,15174,True
tune_gridC_acc2,22,2,2,shuffle=512,,,,11603.0,,15174,True
tune_gridC_acc2,22,2,2,shuffle=2048,,,,11680.333333333334,,15174,True
tune_gridC_acc2,22,2,4,shuffle=0,,,,12447.666666666666,,15174,True
tune_gridC_acc2,22,2,4,shuffle=512,,,,13153.0,,15174,True
tune_gridC_acc2,22,2,4,shuffle=2048,,,,13134.0,,15174,True
tune_gridC_acc2,24,2,2,shuffle=0,,,,12500.666666666666,,16450,True
tune_gridC_acc2,24,2,2,shuffle=512,,,,13673.0,,16450,True
tune_gridC_acc2,24,2,2,shuffle=2048,,,,13828.333333333334,,16450,True
tune_gridC_acc2,24,2,4,shuffle=0,,,,13846.666666666666,,16450,True
tune_gridC_acc2,24,2,4,shuffle=512,,,,13870.333333333334,,16450,True
tune_gridC_acc2,24,2,4,shuffle=2048,,,,13925.0,,16450,True
tune_gridD_acc1,28,1,0,shuffle=0,,,,13458.666666666666,,10176,True
tune_gridD_acc1,28,1,0,shuffle=512,,,,13634.0,,10176,True
tune_gridD_acc1,28,1,2,shuffle=0,,,,13783.333333333334,,10176,True
tune_gridD_acc1,28,1,2,shuffle=512,,,,13708.333333333334,,10176,True
tune_gridD_acc1,30,1,0,shuffle=0,,,,13752.666666666666,,10873,True
tune_gridD_acc1,30,1,0,shuffle=512,,,,13658.333333333334,,10873,True
tune_gridD_acc1,30,1,2,shuffle=0,,,,13823.666666666666,,10873,True
tune_gridD_acc1,30,1,2,shuffle=512,,,,13668.333333333334,,10873,True
tune_gridD_acc1,32,1,0,shuffle=0,,,,13563.666666666666,,11570,True
tune_gridD_acc1,32,1,0,shuffle=512,,,,13604.666666666666,,11570,True
tune_gridD_acc1,32,1,2,shuffle=0,,,,13673.333333333334,,11570,True
tune_gridD_acc1,32,1,2,shuffle=512,,,,13317.666666666666,,11570,True
tiny_bf16,64,1,2,,False,12000,50,61279,,,
tiny_f16,64,1,2,,False,12000,50,59202,,,
tiny_sparse,64,1,2,,True,12000,50,75048,,,
tiny_sparse_noclip,64,1,2,,True,12000,0,,,,False
tiny_sparse_lbl64_512,64,1,2,,True,12000,50,76707,,,
tiny_sparse_lbl32_256,64,1,2,,True,12000,50,76293,,,
tiny_sparse_lbl64_512_p4,64,1,4,,True,12000,50,77814,,,
tiny_sparse_lbl64_512_p8,64,1,8,,True,12000,50,77635,,,
tiny_sparse_lbl64_512_p4_paired,64,1,4,,True,12000,50,83911,,,
tiny_sparse_lbl64_512_p4_shuffle512,64,1,4,,True,12000,50,73844,,,
tiny_sparse_lbl64_512_p4_shuffle2048,64,1,4,,True,12000,50,74992,,,
tiny_sparse_lbl64_512_p4_shuffle2048_ids,64,1,4,,True,12000,50,69765,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired,64,1,4,,True,12000,50,81111,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired,64,1,4,,True,12000,50,81111,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired_relu2,64,1,4,,True,12000,50,77430,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired_qknorm,64,1,4,,True,12000,50,72723,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired_bs72,72,1,4,,True,12000,50,73499,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired_vmix,64,1,4,,True,12000,50,76404,,,
tiny_sparse_lbl64_512_p4_shuffle2048_paired_embedskip,64,1,4,,True,12000,50,78866,,,
tiny_sparse_paired_bin_labels_mmap,64,1,4,,True,12000,50,69059,,,
tiny_sparse_paired_bin_labels_mem,64,1,4,,True,12000,50,75410,,,
tiny_sparse_paired_bin_nolabel_mmap,64,1,4,,True,12000,50,76302,,,
tiny_sparse_paired_bin_nolabel_mem,64,1,4,,True,12000,50,81311,,,
paired_prefetch2,64,1,2,,True,12000,50,78449,,,
paired_prefetch6,64,1,6,,True,12000,50,79637,,,
paired_prefetch8,64,1,8,,True,12000,50,79134,,,
paired_bucket256_384_512,64,1,4,"bucket=256,384,512",True,12000,50,72152,,,
paired_label32_512,64,1,4,"label=32,64,128,256,512",True,12000,50,78460,,,
paired_shuffle1024,64,1,4,"shuffle=1024",True,12000,50,78723,,,
paired_shuffle4096,64,1,4,"shuffle=4096",True,12000,50,82287,,,
bin2d_mmap,64,1,4,,True,12000,50,80645,,,
bin2d_mem,64,1,4,,True,12000,50,83738,,,
bin2d_mem_no_compile,64,1,4,,True,12000,50,66227,,,
bin2d_mem_shuffle0,64,1,4,,True,12000,50,80844,,,
bin2d_mem_shuffle512,64,1,4,,True,12000,50,83893,,,
bin2d_mem_shuffle1024,64,1,4,,True,12000,50,78870,,,
bin2d_mem_shuffle2048,64,1,4,,True,12000,50,81024,,,
bin2d_mem_shuffle4096,64,1,4,,True,12000,50,57929,,,
bin2d_mem_shuffle512_p2,64,1,2,,True,12000,50,79730,,,
bin2d_mem_shuffle512_b72,72,1,4,,True,14000,50,87038,,,
bin2d_mem_shuffle512_b80,80,1,4,,True,15000,50,86304,,,
bin2d_mem_shuffle512_b72_param,72,1,4,,True,14000,50,85699,,,
bin2d_mem_shuffle512_b72_lion,72,1,4,,True,14000,50,79541,,,
bin2d_mem_shuffle512_b68,68,1,4,,True,14000,50,77454,,,
bin2d_mem_shuffle512_b76,76,1,4,,True,14500,50,79894,,,
bin2d_mem_shuffle512_b72_p3,72,1,3,,True,14000,50,80253,,,
bin2d_mem_shuffle512_b72_p5,72,1,5,,True,14000,50,79339,,,
bin2d_mem_shuffle512_b72_s256,72,1,4,,True,14000,50,80264,,,
bin2d_mem_shuffle512_b72_s768,72,1,4,,True,14000,50,82423,,,
bin2d_mem_shuffle512_b70,70,1,4,,True,14000,50,77598,,,
bin2d_mem_shuffle512_b74,74,1,4,,True,14500,50,78497,,,
bin2d_mem_shuffle384_b72,72,1,4,,True,14000,50,79081,,,
bin2d_mem_shuffle640_b72,72,1,4,,True,14000,50,77095,,,
bin2d_mem_shuffle512_b72_adafactor,72,1,4,,True,14000,50,65255,,,
bin2d_mem_shuffle512_b64_p2_sleep3,64,1,2,,True,12000,50,73320,,,
bin2d_mem_shuffle512_b60_p2_sleep3,60,1,2,,True,12000,50,73795,,,
bin2d_mem_shuffle512_b60_p1_sleep3,60,1,1,,True,12000,50,75033,,,
bin2d_mem_shuffle512_b72_sleep0p5,72,1,4,,True,14000,50,77786,,,
bin2d_mem_shuffle512_b72_sleep1_e2,72,1,4,,True,14000,50,75754,,,
bin2d_mem_shuffle512_b72_sleep2_e8,72,1,4,,True,14000,50,79446,,,
bin2d_mem_shuffle512_b72_sleep5_e10,72,1,4,,True,14000,50,79236,,,
bin2d_mem_shuffle512_b72_sleep0p2_e8,72,1,4,,True,14000,50,79588,,,
bin2d_mem_shuffle512_b72_sleep0p05_e16,72,1,4,,True,14000,50,85884,,,
bin2d_mem_shuffle512_b72_nosleep,72,1,4,,True,14000,50,83390,,,
bin2d_mem_shuffle512_b80_nosleep,80,1,4,,True,15000,50,83863,,,
bin2d_mem_shuffle512_b84_nosleep,84,1,4,,True,16000,50,70976,,,
bin2d_mem_shuffle512_b72_nosleep_retest,72,1,4,,True,14000,50,80723,,,
bin2d_mem_shuffle512_b72_p6_s512,72,1,6,,True,14000,50,85811,,,
bin2d_mem_shuffle768_b72_p4,72,1,4,,True,14000,50,85698,,,
bin2d_mem_shuffle768_b72_p6,72,1,6,,True,14000,50,85416,,,
bin2d_mem_shuffle512_b72_nocompile,72,1,4,,True,14000,50,67767,,,
bin2d_mem_shuffle512_b72_nocompile_noopt,72,1,4,,True,14000,50,71678,,,
bin2d_mem_shuffle512_b72_nometa,72,1,4,,True,14000,50,77334,,,
bin2d_mem_shuffle512_b72_nosleep_retest2,72,1,4,,True,14000,50,83419,,,
bin2d_mem_shuffle1024_b72_p6,72,1,6,,True,14000,50,80394,,,
bin2d_mem_shuffle512_b72_p8_s512,72,1,8,,True,14000,50,84287,,,
bin2d_mem_shuffle512_b72_p5_s512,72,1,5,,True,14000,50,85226,,,
bin2d_mem_shuffle512_b72_p7_s512,72,1,7,,True,14000,50,84752,,,
bin2d_mem_shuffle640_b72_p6,72,1,6,,True,14000,50,75480,,,
bin2d_mem_shuffle512_b72_p6_s512_param,72,1,6,,True,14000,50,82161,,,
bin2d_mem_shuffle512_b72_p6_s512_vm0p1,72,1,6,,True,14000,50,73821,,,
bin2d_mem_shuffle512_b72_p6_s512_vm0p05,72,1,6,,True,14000,50,78200,,,
bin2d_mem_shuffle512_b72_p6_s512_f16,72,1,6,,True,14000,50,74121,,,
jsonl_ids_b144_p6_s256,144,1,6,,True,14000,50,82729,,,
jsonl_ids_b96_p6_s384,96,1,6,,True,14000,50,84608,,,
bin2d_mem_shuffle512_b72_p6_s512_acc2,72,2,6,,True,14000,50,80841,,,
bin2d_mem_shuffle512_b72_p6_s512_lblfine,72,1,6,,True,14000,50,81565,,,
bin2d_mem_shuffle256_b160_p6,160,1,6,,True,14000,50,88638,,,
bin2d_mem_shuffle256_b192_p6,192,1,6,,True,14000,50,87160,,,
bin2d_mem_shuffle256_b144_p6,144,1,6,,True,14000,50,85764,,,
bin2d_mem_shuffle384_b96_p6,96,1,6,,True,14000,50,81867,,,
